Category,Product Name,Price,Description,Reviews,Product URL
Laptops,Lenovo ThinkPad E31-80,$404.23,"Lenovo ThinkPad E31-80, 13.3"" HD, Celeron 3855U 1.6GHz, 4GB, 128GB SSD, Windows 10 Home",,https://webscraper.io/test-sites/e-commerce/allinone/product/72
Laptops,Lenovo V110-15ISK,$409.63,"Lenovo V110-15ISK, 15.6"" HD, Core i3-6006U, 8GB, 128GB SSD, Windows 10 Home",,https://webscraper.io/test-sites/e-commerce/allinone/product/74
Laptops,Acer Aspire ES1-732 Black,$410.46,"Acer Aspire ES1-732 Black, 17.3"" HD+, Celeron, N3350, 4GB, 1TB, Windows 10 Home",,https://webscraper.io/test-sites/e-commerce/allinone/product/75
Laptops,Asus VivoBook 15 X540NA-GQ026T,$410.66,"Asus VivoBook 15 X540NA-GQ026T Chocolate Black, 15.6"" HD, Pentium N4200, 4GB, 128GB SSD, Windows 10 Home, En/Ru kbd",,https://webscraper.io/test-sites/e-commerce/allinone/product/76
Laptops,Packard 255 G2,$416.99,"15.6"", AMD E2-3800 1.3GHz, 4GB, 500GB, Windows 8.1",,https://webscraper.io/test-sites/e-commerce/allinone/product/31
Laptops,Asus EeeBook R416NA-FA014T,$433.3,"Asus EeeBook R416NA-FA014T, 14"" FHD, Pentium N4200, 4GB, 128GB eMMC, Windows 10 Home, Eng kbd",,https://webscraper.io/test-sites/e-commerce/allinone/product/77
Laptops,Acer Aspire 3 A315-51,$436.29,"Acer Aspire 3 A315-51, 15.6"" HD, Core i3-6006U, 4GB, 1TB, Windows 10 Home",,https://webscraper.io/test-sites/e-commerce/allinone/product/78
Laptops,Acer Extensa 15 (2540) Black,$439.73,"Acer Extensa 15 (2540) Black, 15.6"" HD, Core i5-7200U, 4GB, 500GB, Linux",,https://webscraper.io/test-sites/e-commerce/allinone/product/80
Laptops,Acer Aspire A315-51-33TG,$457.38,"Acer Aspire A315-51-33TG, Black 15.6"" HD, Core i3-7100U, 4GB DDR4, 128GB SSD, Windows 10 Home, ENG",,https://webscraper.io/test-sites/e-commerce/allinone/product/83
Laptops,Lenovo V110-15IKB,$465.95,"Lenovo V110-15IKB, 15.6"" HD, Core i5-7200U, 4GB, 500GB, DOS",,https://webscraper.io/test-sites/e-commerce/allinone/product/84
Laptops,Asus VivoBook 15 X540UA-DM260 Chocolate Black,$468.56,"Asus VivoBook 15 X540UA-DM260 Chocolate Black, 15.6"" FHD, Core i3-6006U, 4GB, 256GB SSD, Endless OS, En kbd",,https://webscraper.io/test-sites/e-commerce/allinone/product/85
Laptops,Lenovo V510 Black,$484.23,"Lenovo V510 Black, 14"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home",,https://webscraper.io/test-sites/e-commerce/allinone/product/87
Laptops,Acer Swift 1 SF113-31 Silver,$488.64,"Acer Swift 1 SF113-31 Silver, 13.3"" FHD, Pentium N4200, 4GB, 128GB SSD, Windows 10 Home",,https://webscraper.io/test-sites/e-commerce/allinone/product/90
Laptops,Dell Vostro 15,$488.78,"Dell Vostro 15 (3568) Black, 15.6"" FHD, Core i5-7200U, 4GB, 128GB SSD, Radeon R5 M420 2GB, Linux",,https://webscraper.io/test-sites/e-commerce/allinone/product/46
Laptops,Acer Aspire 3 A315-51 Black,$494.71,"Acer Aspire 3 A315-51 Black, 15.6"" FHD, Core i3-7100U, 4GB, 500GB + 128GB SSD, Windows 10 Home",,https://webscraper.io/test-sites/e-commerce/allinone/product/91
Laptops,Dell Vostro 15 (3568) Red,$497.17,"Dell Vostro 15 (3568) Red, 15.6"" HD, Core i5-7200U, 4GB, 1TB, Radeon R5 M420 2GB, Linux",,https://webscraper.io/test-sites/e-commerce/allinone/product/92
Laptops,HP 250 G3,$520.99,"15.6"", Core i5-4210U, 4GB, 500GB, Windows 8.1",,https://webscraper.io/test-sites/e-commerce/allinone/product/42
Laptops,Acer Spin 5,$564.98,"Acer Spin 5 SP513-51 Black, 13.3"" FHD Touch, Core i3-7100U, 4GB, 128GB SSD, Windows 10 Home",,https://webscraper.io/test-sites/e-commerce/allinone/product/47
Laptops,HP 350 G1,$577.99,"15.6"", Core i5-4200U, 4GB, 750GB, Radeon HD8670M 2GB, Windows",,https://webscraper.io/test-sites/e-commerce/allinone/product/44
Laptops,Aspire E1-572G,$581.99,"15.6"", Core i5-4200U, 8GB, 1TB, Radeon R7 M265, Windows 8.1",,https://webscraper.io/test-sites/e-commerce/allinone/product/36
Laptops,Pavilion,$609.99,"15.6"", Core i5-4200U, 6GB, 750GB, Windows 8.1",,https://webscraper.io/test-sites/e-commerce/allinone/product/38
Laptops,Acer Aspire A515-51-5654,$679,"Acer Aspire A515-51-5654, Black, 15.6"", FHD, Core i5-8250U, 8GB DDR4, 256GB SSD, Windows 10 Home, ENG",,https://webscraper.io/test-sites/e-commerce/allinone/product/48
Laptops,Dell Inspiron 15,$679,"Dell Inspiron 15 (5567) Fog Gray, 15.6"" FHD, Core i5-7200U, 8GB, 1TB, Radeon R7 M445 4GB, Linux",,https://webscraper.io/test-sites/e-commerce/allinone/product/49
Laptops,Asus VivoBook S14,$729,"Asus VivoBook S14 (S406UA-BV041T) Starry Grey, 14"", Core i5-8250U, 8GB, 256GB SSD, Windows 10 Home, Eng kbd",,https://webscraper.io/test-sites/e-commerce/allinone/product/50
Laptops,ProBook,$739.99,"14"", Core i5 2.6GHz, 4GB, 500GB, Win7 Pro 64bit",,https://webscraper.io/test-sites/e-commerce/allinone/product/34
Laptops,Inspiron 15,$745.99,"Moon Silver, 15.6"", Core i7-4510U, 8GB, 1TB, Radeon HD R7 M265 2GB,",,https://webscraper.io/test-sites/e-commerce/allinone/product/39
Laptops,Asus ROG STRIX GL553VD-DM256,$799,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS",,https://webscraper.io/test-sites/e-commerce/allinone/product/51
Laptops,Acer Nitro 5 AN515-51,$809,"Acer Nitro 5 AN515-51, 15.6"" FHD IPS, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, Windows 10 Home",,https://webscraper.io/test-sites/e-commerce/allinone/product/52
Laptops,Lenovo ThinkPad L570,$999,"Lenovo ThinkPad L570, 15.6"" FHD, Core i7-7500U, 8GB, 256GB SSD, Windows 10 Pro",,https://webscraper.io/test-sites/e-commerce/allinone/product/54
Laptops,ThinkPad Yoga,$1033.99,"12.5"" Touch, Core i3-4010U, 4GB, 500GB + 16GB SSD Cache,",,https://webscraper.io/test-sites/e-commerce/allinone/product/37
Laptops,Lenovo ThinkPad L460,$1096.02,"Lenovo ThinkPad L460, 14"" FHD IPS, Core i7-6600U, 8GB, 256GB SSD, Windows 10 Pro",,https://webscraper.io/test-sites/e-commerce/allinone/product/94
Laptops,Dell Inspiron 15 (7567) Black,$1098.42,"Dell Inspiron 15 (7567) Black, 15.6"" FHD, Core i5-7300HQ, 8GB, 256GB SSD, GeForce GTX 1050 4GB, Windows 10 Home",,https://webscraper.io/test-sites/e-commerce/allinone/product/95
Laptops,MSI GL72M 7RDX,$1099,"MSI GL72M 7RDX, 17.3"" FHD, Core i5-7300HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 2GB, Windows 10 Home",,https://webscraper.io/test-sites/e-commerce/allinone/product/96
Laptops,Asus ROG Strix GL553VD-DM535T,$1101.83,"Apple MacBook Air 13.3"", Core i5 1.8GHz, 8GB, 128GB SSD, Intel HD 4000, RUS",,https://webscraper.io/test-sites/e-commerce/allinone/product/98
Laptops,Dell Latitude 5280,$1102.66,"Dell Latitude 5280, 12.5"" HD, Core i5-7300U, 8GB, 256GB SSD, Windows 10 Pro",,https://webscraper.io/test-sites/e-commerce/allinone/product/99
Laptops,Dell Latitude 5480,$1110.14,"Dell Latitude 5480, 14"" FHD, Core i5-7300U, 8GB, 500GB, Linux + Windows 10 Home",,https://webscraper.io/test-sites/e-commerce/allinone/product/100
Laptops,Lenovo Legion Y520-15IKBM,$1112.91,"Lenovo Legion Y520-15IKBM, Black, 15.6"" FHD IPS, Core i5-7300HQ, 8 GB, 128GB SSD + 2 TB HDD, NVIDIA GeForce GTX 1060 6 GB, FreeDOS + Windows 10 Home",,https://webscraper.io/test-sites/e-commerce/allinone/product/101
Laptops,Toshiba Portege Z30-C-16J Grey,$1114.55,"Toshiba Portege Z30-C-16J Grey, 13.3"" FHD, Core i5-6200U, 8GB, 256GB SSD, Windows 10 Pro",,https://webscraper.io/test-sites/e-commerce/allinone/product/102
Laptops,Acer Predator Helios 300 (PH317-51),$1123.87,"Acer Predator Helios 300 (PH317-51), 17.3"" FHD IPS, Core i5-7300HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050Ti 4GB, Windows 10 Home",,https://webscraper.io/test-sites/e-commerce/allinone/product/103
Laptops,Acer Aspire 7 A715-71G,$1123.87,"Acer Aspire 7 A715-71G, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 1TB HDD, GTX 1050 Ti 4GB, Windows 10 Home",,https://webscraper.io/test-sites/e-commerce/allinone/product/104
Laptops,Dell Inspiron 17 2in1 (7779) Silver,$1124.2,"Dell Inspiron 17 2in1 (7779) Silver, 17.3"" FHD Touch, Core i5-7200U, 12GB, 1TB, GeForce GT940MX 2GB, Windows 10 Home",,https://webscraper.io/test-sites/e-commerce/allinone/product/105
Laptops,Lenovo Legion Y520,$1133.91,"Lenovo Legion Y520, 15.6"" FHD, Core i7-7700HQ, 8GB, 128 GB SSD + 1TB HDD, GTX 1050 4GB, Windows 10 Home",,https://webscraper.io/test-sites/e-commerce/allinone/product/107
Laptops,Asus AsusPro Advanced BU401LA-FA271G Dark Grey,$1139.54,"Asus AsusPro Advanced BU401LA-FA271G Dark Grey, 14"", Core i5-4210U, 4GB, 128GB SSD, Win7 Pro 64bit, ENG",,https://webscraper.io/test-sites/e-commerce/allinone/product/108
Laptops,Dell Latitude 5580,$1144.4,"Dell Latitude 5580, 15.6"" FHD, Core i5-7300U, 8GB, 256GB SSD, Windows 10 Pro",,https://webscraper.io/test-sites/e-commerce/allinone/product/112
Laptops,MSI GP62M 7RDX Leopard,$1149,"MSI GP62M 7RDX Leopard, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 2GB, Windows 10 Home",,https://webscraper.io/test-sites/e-commerce/allinone/product/113
Laptops,Lenovo Yoga 720 Grey,$1149.73,"Lenovo Yoga 720 Grey, 15.6"" FHD IPS, Core i5-7300HQ, 8GB, 256GB SSD, GeForce GTX 1050 2GB, Windows 10 Home",,https://webscraper.io/test-sites/e-commerce/allinone/product/114
Laptops,Toshiba Portege Z30-C-16L Grey,$1154.04,"Toshiba Portege Z30-C-16L Grey, 13.3"" FHD, Core i7-6500U, 8GB, 256GB SSD, Windows 10 Pro",,https://webscraper.io/test-sites/e-commerce/allinone/product/115
Laptops,Acer TravelMate P645-S-511A Black,$1170.1,"Acer TravelMate P645-S-511A Black, 14"" FHD IPS, Core i5-5200U, 8GB, 256GB SSD, 3G, Windows 10 Pro",,https://webscraper.io/test-sites/e-commerce/allinone/product/116
Laptops,ThinkPad T540p,$1178.99,"15.6"", Core i5-4200M, 4GB, 500GB, Win7 Pro 64bit",,https://webscraper.io/test-sites/e-commerce/allinone/product/33
Laptops,MSI GS63 7RD Stealth,$1179,"MSI GS63 7RD Stealth, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 256GB SSD, GeForce GTX 1050 2GB, DOS + Windows 10 Home",,https://webscraper.io/test-sites/e-commerce/allinone/product/118
Laptops,MSI GL62M 7REX,$1199,"MSI GL62M 7REX, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 2GB, Windows 10 Home",,https://webscraper.io/test-sites/e-commerce/allinone/product/121
Laptops,MSI GL62M 7REX2,$1199,"MSI GL62M 7REX2, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 2GB, Windows 10 Home",,https://webscraper.io/test-sites/e-commerce/allinone/product/122
Laptops,Lenovo Yoga 910 Grey,$1199.73,"Lenovo Yoga 910 Grey, 13.9"" FHD Touch, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Home",,https://webscraper.io/test-sites/e-commerce/allinone/product/123
Laptops,Toshiba Portege X30-D-10J Black/Blue,$1203.41,"Toshiba Portege X30-D-10J Black/Blue, 13.3"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Pro",,https://webscraper.io/test-sites/e-commerce/allinone/product/124
Laptops,Lenovo IdeaPad Miix 510 Platinum Silver,$1212.16,"Lenovo IdeaPad Miix 510 Platinum Silver, 12.2"" IPS Touch, Core i5-7200U, 8GB, 256GB SSD, 4G, Windows 10 Pro",,https://webscraper.io/test-sites/e-commerce/allinone/product/125
Laptops,Asus VivoBook Pro 15 N580VN-FI006T Gold Metal,$1235.49,"Asus VivoBook Pro 15 N580VN-FI006T Gold Metal, 15.6"" UHD, Core i7-7700HQ, 16GB, 1TB + 256GB SSD, GeForce MX150 2GB, Windows 10 Home, Eng kbd",,https://webscraper.io/test-sites/e-commerce/allinone/product/127
Laptops,Asus ZenBook UX530UX-FY040T Blue,$1239.2,"Asus ZenBook UX530UX-FY040T Blue, 15.6"" FHD, Core i7-7500U, 8GB, 512GB SSD, GeForce GTX950M 2GB, Windows 10 Home, Eng kbd",,https://webscraper.io/test-sites/e-commerce/allinone/product/129
Laptops,ThinkPad X230,$1244.99,"12.5"", Core i5 2.6GHz, 8GB, 180GB SSD, Win7 Pro 64bit",,https://webscraper.io/test-sites/e-commerce/allinone/product/41
Laptops,Asus ROG Strix GL753VE-GC096T,$1259,"Asus ROG Strix GL753VE-GC096T, 17.3"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 4GB, Windows 10 Home, Eng kbd",,https://webscraper.io/test-sites/e-commerce/allinone/product/130
Laptops,"Apple MacBook Air 13""",$1260.13,"Apple MacBook Air 13"", i5 1.8GHz, 8GB, 256GB SSD, Intel HD 6000, ENG",,https://webscraper.io/test-sites/e-commerce/allinone/product/131
Laptops,Hewlett Packard Spectre 13-v106na Dark Ash Silver,$1273.11,"Hewlett Packard Spectre 13-v106na Dark Ash Silver, 13.3"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Home",,https://webscraper.io/test-sites/e-commerce/allinone/product/133
Laptops,Dell XPS 13,$1281.99,"13.3"" Touch, Core i5-4210U, 8GB, 128GB SSD, Windows 8.1",,https://webscraper.io/test-sites/e-commerce/allinone/product/40
Laptops,Toshiba Portege Z30-C-16K Grey,$1294.74,"Toshiba Portege Z30-C-16K Grey, 13.3"" FHD, Core i5-6200U, 8GB, 256GB SSD, 4G, Windows 10 Pro",,https://webscraper.io/test-sites/e-commerce/allinone/product/134
Laptops,MSI GL62VR 7RFX,$1299,"MSI GL62VR 7RFX, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 256GB SSD, GeForce GTX 1060 3GB, Windows 10 Home",,https://webscraper.io/test-sites/e-commerce/allinone/product/135
Laptops,ThinkPad X240,$1311.99,"12.5"", Core i5-4300U, 8GB, 240GB SSD, Win7 Pro 64bit",,https://webscraper.io/test-sites/e-commerce/allinone/product/35
Laptops,Hewlett Packard ProBook 640 G3,$1326.83,"Hewlett Packard ProBook 640 G3, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Windows 10 Pro",,https://webscraper.io/test-sites/e-commerce/allinone/product/137
Laptops,"Apple MacBook Pro 13"" Space Gray",$1333,"Apple MacBook Pro 13"" Space Gray, Core i5 2.3GHz, 8GB, 128GB SSD, Iris Plus 640, ENG",,https://webscraper.io/test-sites/e-commerce/allinone/product/138
Laptops,Lenovo ThinkPad T470,$1349.23,"Lenovo ThinkPad T470, 14"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Pro",,https://webscraper.io/test-sites/e-commerce/allinone/product/143
Laptops,Lenovo ThinkPad Yoga 370 Black,$1362.24,"Lenovo ThinkPad Yoga 370 Black, 13.3"" FHD IPS Touch, Core i5-7200U, 8GB, 256GB SSD, 4G, Windows 10 Pro",,https://webscraper.io/test-sites/e-commerce/allinone/product/144
Laptops,Toshiba Portege X20W-D-10V Black/Blue,$1366.32,"Toshiba Portege X20W-D-10V Black/Blue, 12.5"" FHD Touch, Core i7-7500U, 8GB, 512GB SSD, Windows 10 Pro",,https://webscraper.io/test-sites/e-commerce/allinone/product/145
Laptops,Asus ASUSPRO B9440UA-GV0279R Gray,$1381.13,"Asus ASUSPRO B9440UA-GV0279R Gray, 14"" FHD, Core i7-7500U, 16GB, 512GB SSD, Windows 10 Pro, Eng kbd",,https://webscraper.io/test-sites/e-commerce/allinone/product/146
Laptops,Lenovo Legion Y720,$1399,"Lenovo Legion Y720, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 2TB HDD, GeForce GTX 1060 6GB, DOS, RGB backlit keyboard",,https://webscraper.io/test-sites/e-commerce/allinone/product/56
Laptops,Asus ROG Strix GL702VM-GC146T,$1399,"Asus ROG Strix GL702VM-GC146T, 17.3"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1060 3GB, Windows 10 Home, Eng kbd",,https://webscraper.io/test-sites/e-commerce/allinone/product/147
Laptops,Asus ROG Strix GL702ZC-GC154T,$1769,"Asus ROG Strix GL702ZC-GC154T, 17.3"" FHD, Ryzen 7 1700, 16GB, 256GB + 1TB HDD, Radeon RX 580 4GB, Windows 10 Home",,https://webscraper.io/test-sites/e-commerce/allinone/product/57
Laptops,Asus ROG Strix GL702ZC-GC209T,$1769,"Asus ROG Strix GL702ZC-GC209T, 17.3"" FHD IPS, Ryzen 7 1700, 16GB, 256GB SSD + 1TB HDD, Radeon RX 580 4GB, Windows 10 Home",,https://webscraper.io/test-sites/e-commerce/allinone/product/58
Laptops,Asus ROG Strix SCAR Edition GL503VM-ED115T,$1799,"Asus ROG Strix SCAR Edition GL503VM-ED115T, 15.6"" FHD 120Hz, Core i7-7700HQ, 16GB, 256GB SSD + 1TB SSHD, GeForce GTX 1060 6GB, Windows 10 Home",,https://webscraper.io/test-sites/e-commerce/allinone/product/59
Tablets,Lenovo IdeaTab,$69.99,"7"" screen, Android",,https://webscraper.io/test-sites/e-commerce/allinone/product/10
Tablets,IdeaTab A3500L,$88.99,"Black, 7"" IPS, Quad-Core 1.2GHz, 8GB, Android 4.2",,https://webscraper.io/test-sites/e-commerce/allinone/product/15
Tablets,Acer Iconia,$96.99,"7"" screen, Android, 16GB",,https://webscraper.io/test-sites/e-commerce/allinone/product/11
Tablets,Galaxy Tab 3,$97.99,"7"", 8GB, Wi-Fi, Android 4.2, White",,https://webscraper.io/test-sites/e-commerce/allinone/product/18
Tablets,Iconia B1-730HD,$99.99,"Black, 7"", 1.6GHz Dual-Core, 8GB, Android 4.4",,https://webscraper.io/test-sites/e-commerce/allinone/product/27
Tablets,Memo Pad HD 7,$101.99,"IPS, Dual-Core 1.2GHz, 8GB, Android 4.3",,https://webscraper.io/test-sites/e-commerce/allinone/product/23
Tablets,Asus MeMO Pad,$102.99,"7"" screen, Android, 8GB",,https://webscraper.io/test-sites/e-commerce/allinone/product/12
Tablets,Amazon Kindle,$103.99,"6"" screen, wifi",,https://webscraper.io/test-sites/e-commerce/allinone/product/13
Tablets,IdeaTab A8-50,$121.99,"Blue, 8"" IPS, Quad-Core 1.3GHz, 16GB, Android 4.2",,https://webscraper.io/test-sites/e-commerce/allinone/product/28
Tablets,MeMO Pad 7,$130.99,"White, 7"", Atom 1.2GHz, 8GB, Android 4.4",,https://webscraper.io/test-sites/e-commerce/allinone/product/20
Tablets,IdeaTab A3500-H,$148.99,"Blue, 7"" IPS, Quad-Core 1.3GHz, 8GB, 3G, Android 4.2",,https://webscraper.io/test-sites/e-commerce/allinone/product/17
Tablets,IdeaTab S5000,$172.99,"Silver, 7"" IPS, Quad-Core 1.2Ghz, 16GB, 3G, Android 4.2",,https://webscraper.io/test-sites/e-commerce/allinone/product/26
Tablets,Galaxy Tab 4,$233.99,"LTE (SM-T235), Quad-Core 1.2GHz, 8GB, Black",,https://webscraper.io/test-sites/e-commerce/allinone/product/21
Tablets,Galaxy Tab,$251.99,"16GB, White",,https://webscraper.io/test-sites/e-commerce/allinone/product/16
Tablets,MeMo PAD FHD 10,$320.99,"White, 10.1"" IPS, 1.6GHz, 2GB, 16GB, Android 4.2",,https://webscraper.io/test-sites/e-commerce/allinone/product/25
Tablets,Galaxy Note,$399.99,"10.1"", 3G, Android 4.0, Garnet Red",,https://webscraper.io/test-sites/e-commerce/allinone/product/29
Tablets,iPad Mini Retina,$537.99,"Wi-Fi + Cellular, 32GB, Silver",,https://webscraper.io/test-sites/e-commerce/allinone/product/14
Tablets,Galaxy Note 10.1,$587.99,"10.1"", 32GB, Black",,https://webscraper.io/test-sites/e-commerce/allinone/product/24
Tablets,Apple iPad Air,$603.99,"Wi-Fi, 64GB, Silver",,https://webscraper.io/test-sites/e-commerce/allinone/product/30
Phones,Nokia 123,$24.99,7 day battery,,https://webscraper.io/test-sites/e-commerce/allinone/product/1
Phones,LG Optimus,$57.99,"3.2"" screen",,https://webscraper.io/test-sites/e-commerce/allinone/product/2
Phones,Samsung Galaxy,$93.99,5 mpx. Android 5.0,,https://webscraper.io/test-sites/e-commerce/allinone/product/3
Phones,Nokia X,$109.99,"Andoid, Jolla dualboot",,https://webscraper.io/test-sites/e-commerce/allinone/product/4
Phones,Sony Xperia,$118.99,"GPS, waterproof",,https://webscraper.io/test-sites/e-commerce/allinone/product/5
Phones,Ubuntu Edge,$499.99,Sapphire glass,,https://webscraper.io/test-sites/e-commerce/allinone/product/6
Phones,Iphone,$899.99,White,,https://webscraper.io/test-sites/e-commerce/allinone/product/7
